,prix,Taxes_municipales,Taxes_scolaires,Electricite,Assurances,ville,region,adresse,chambres,salle_de_bain,salle_d_eau,etage,Aire_habitable,Taille_du_terrain
6136,699000$,"3941,00$",,,"2500,00$",Beauport,Québec Rive-Nord,"2535-2537-2539, chemin du Petit-Village",6,3,,,,"6,985 pi² (648.93 m²)"
6137,35000$,,,,,Bristol,Outaouais,"20, chemin Baird",,,,,,"43,560.00 pi² (1 acre)"
6138,79500$,"451,35$",,,,ND-Du-Mont-Carmel,Mauricie,7e rue du lac Doucet,,,,,,"149,656.03 pi² (13,903.5 m²)"
6139,1225000$,,,,,Prévost,Laurentides,"649, rue du Joli-Bois",4,4,2,2,,"34,000 pi² (3,158.7 m²)"
6140,560000$,"3714,17$","182,06$","2611,56$","1109,00$",Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,"2159, chemin de la Réserve",3,2,,1,"1,140 pi² (105.91 m²)","22,100 pi² (2,053.16 m²)"
6141,789000$,"5537,46$","650,00$","3100,00$","675,50$",Lévis,Québec Rive-Sud (Lévis),"3, rue J.-K.-Laflamme",4,2,,2,,
6142,44995$,"241,00$","50,00$",,,Chertsey,Lanaudière,"1, rue Oriole",,,,,,"50,000 pi² (4,645.15 m²)"
6143,399990$,,,,,St-Hubert-De-Rivière-Du-Loup,Bas-Saint-Laurent,"93-95, rue Principale Nord",5,1,,1,"2,040 pi² (189.52 m²)","509,955 pi² (47,376.37 m²)"
6144,83000$,"5124,80$","108,00$","2700,00$","3500,00$",La Doré,Saguenay-Lac-Saint-Jean,"4974, rue des Peupliers",4,3,,,,"11,115.89 pi² (1,032.7 m²)"
6145,350000$,,,,,Carignan,Montérégie (Rive-Sud Montréal),"3510, rue Lareau",,,,,,"5,161.30 pi² (479.5 m²)"
6146,52900$,"257,13$","12,65$",,,Mont-Tremblant,Laurentides,"635, chemin Paquette",,,,,,"43,104.08 pi² (4,004.5 m²)"
6148,189000$,"1914,07$","152,83$","720,00$","312,00$",Ste-Foy,Québec Rive-Nord,"812-3315, rue France-Prime",1,1,,1,600 pi² (55.74 m²),
6149,550000$,"2500,00$","200,00$","1000,00$","2500,00$",Ristigouche-Partie-Sud-Est,Gaspésie-Îles-de-la-Madeleine,"71, route 132 Ouest",2,1,,1,,"435,600.00 pi² (10 acres)"
6150,500634$,,,,,Château-Richer,Québec Rive-Nord,"8698, avenue Royale",,,,,,"37,084 pi² (3,445.22 m²)"
6151,1245000$,,,,,Côte-des-Neiges / Notre-Dame-de-Grâce,Montréal / l'Île,"2910, avenue Kirkfield",4,2,1,2,"1,400 pi² (130.06 m²)","5,040 pi² (468.23 m²)"
6152,240000$,"1333,93$","157,04$",,,St-Jean-Chrysostome,Québec Rive-Sud (Lévis),"1585, rue Pierre-Beaumont",,,,,,"32,291.73 pi² (3,000 m²)"
6153,319000$,"2566,40$","220,64$","1119,36$","790,00$",L'Ancienne-Lorette,Québec Rive-Nord,"1348, rue Saint-Jacques",1,1,1,2,"1,655 pi² (153.75 m²)","8,551 pi² (794.41 m²)"
6154,949000$,"1118,00$","222,00$","2000,00$","1500,00$",Mirabel (Mirabel en Haut),Laurentides,"176, rue du Domaine Cloutier",2,1,,1,"1,832 pi² (170.2 m²)","95,389.77 pi² (8,862 m²)"
6155,480000$,"2762,00$","211,01$","960,00$",,Ste-Adèle,Laurentides,"206-250, rue de Chamonix",3,4,4,1,"1,780 pi² (165.37 m²)",
6156,979000$,"4387,81$","823,32$","3163,63$","975,00$",Chicoutimi (Chicoutimi-Nord),Saguenay-Lac-Saint-Jean,"149, rue de la Forêt Noire",3,3,1,2,"2,445 pi² (227.15 m²)",140x200 pi (42.67x60.96 m)
6157,318000$,,,,,St-François,Laval,"9560, boulevard des Mille-îles",,,,,,"10,077 pi² (936.18 m²)"
6158,575000$,"1172,00$","84,00$",,,ND-Du-Portage,Bas-Saint-Laurent,route de la Montagne,,,,,,"1,629,376 pi² (151,373.98 m²)"
6160,39900$,,,,,Grande-Vallee,Gaspésie-Îles-de-la-Madeleine,rue de la Fabrique,,,,,,"49,543 pi² (4,602.7 m²)"
6161,495000$,,,,,Grande-Vallee,Gaspésie-Îles-de-la-Madeleine,rue de la Citadelle,,,,,,"230,000 pi² (21,367.7 m²)"
6162,51600$,"452,93$",,,,Cap-Santé,Portneuf,Route 138,,,,,,"32,291.73 pi² (3,000 m²)"
6163,334900$,"8679,00$","1400,00$","1630,00$",,Côte-des-Neiges / Notre-Dame-de-Grâce,Montréal / l'Île,"6-4765, avenue Saint-Kevin",2,1,,1,,
6164,349999$,"2829,08$","556,52$","1877,04$",,Charny,Québec Rive-Sud (Lévis),"3169, avenue des Églises",3,2,,2,"1,472.83 pi² (136.83 m²)","5,638.14 pi² (523.8 m²)"
6165,369000$,"5800,00$","350,00$","3600,00$","1600,00$",La Baie,Saguenay-Lac-Saint-Jean,"1191, 1er Avenue",3,1,1,2,"1,440 pi² (133.78 m²)","75,100 pi² (6,977.02 m²)"
6166,380000$,"4000,00$","600,00$","600,00$",,Ste-Foy,Québec Rive-Nord,"1006-2855, rue Le Noblet",1,1,,1,"1,000 pi² (92.9 m²)",
6167,55000$,"445,44$",,,,Ste-Croix,Chaudière-Appalaches,"5926-5928, rue Principale",,,,,,"9,797 pi² (910.17 m²)"
6168,2749000$,,,,,Pierrefonds / Roxboro,Montréal / l'Île,"4843, rue Colonial",4,3,1,2,"3,500 pi² (325.16 m²)","30,000 pi² (2,787.09 m²)"
6169,459000$,"2500,00$","309,53$",,,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"608-1414, rue Chomedey",1,1,1,1,654.45 pi² (60.8 m²),
6170,329000$,"2987,21$","229,42$","2409,92$","1480,22$",St-Émile,Québec Rive-Nord,"2408, avenue Lapierre",3,2,,1,,"12,000 pi² (1,114.84 m²)"
6172,425000$,"3885,40$","403,33$",,,Ste-Foy,Québec Rive-Nord,"205-1111, rue de Dijon",3,2,,1,"1,685 pi² (156.54 m²)",
6173,374900$,"3781,87$","555,00$","916,00$","1383,00$",Ste-Anne-De-La-Perade,Mauricie,"700, rue Principale",1,1,1,1,"2,270 pi² (210.89 m²)","14,886.48 pi² (1,383 m²)"
6174,580000$,"3336,21$",,,,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"809-1414, rue Chomedey",2,1,,1,728.72 pi² (67.7 m²),
6175,550000$,"4332,94$","445,49$","2617,48$",,Ste-Foy,Québec Rive-Nord,"87, rue Malraux",5,2,1,2,"2,297 pi² (213.4 m²)","6,500 pi² (603.87 m²)"
6176,785000$,"10111,00$","458,00$",,,Magog,Estrie,"426, rue Sherbrooke",,,,,,"29,680 pi² (2,757.36 m²)"
6177,785000$,"10111,00$","458,00$",,"2000,00$",Magog,Estrie,"426, rue Sherbrooke",,,,,,"29,680 pi² (2,757.36 m²)"
6178,1588000$,"5634,67$","1008,04$",,"1487,85$",Candiac,Montérégie (Rive-Sud Montréal),"35-37-39, avenue de Dijon",8,3,,,,"11,506 pi² (1,068.94 m²)"
6179,339000$,,,"460,00$",,Saint-Roch,Québec Rive-Nord,"506-235, rue St-Vallier Est",1,1,,1,677.05 pi² (62.9 m²),213.45 pi² (19.83 m²)
6180,340000$,,,,,Pont-Rouge,Portneuf,"7, rue Martel",4,1,1,1,"1,120 pi² (104.05 m²)","10,882 pi² (1,010.97 m²)"
6181,795000$,"5925,70$","581,46$","3428,86$","2681,40$",Lac-St-Charles,Québec Rive-Nord,"1201-1203, avenue du Lac-Saint-Charles",6,4,1,2,"3,531 pi² (328.04 m²)","16,145.87 pi² (1,500 m²)"
6182,1111643$,"1127,63$","118,00$",,,Sorel-Tracy,Montérégie (Rive-Sud Montréal),boulevard Poliquin,,,,,,"1,307,815 pi² (121,499.99 m²)"
6184,Prixsurdemande,,,,,St-Cyprien-De-Napierville,Montérégie (Rive-Sud Montréal),"648, montée Douglass",,,,,,"173,505 pi² (16,119.14 m²)"
6185,289000$,"4877,93$","203,39$","402,42$","4016,51$",Desbiens,Saguenay-Lac-Saint-Jean,"1102, rue Hébert",,,,,,"24,961.51 pi² (2,319 m²)"
6186,2450000$,"1727,25$","345,00$",,"4850,00$",Rougemont,Montérégie (Rive-Sud Montréal),"1200, rue de la Grande-Caroline",3,,,,,"2,328,734.35 pi² (216,346.5 m²)"
6187,427000$,"2843,71$","310,16$","2781,96$","2074,27$",Rouyn-Noranda,Abitibi-Témiscamingue,"7101, route d'Aiguebelle",3,,,,,"13,068,000.04 pi² (300 acres)"
6188,675000$,"3870,10$","269,19$","2220,00$",,Gatineau (Hull),Outaouais,"126, rue Dollard-des-Ormeaux",6,3,,,,"3,266.85 pi² (303.5 m²)"
6189,59900$,"1009,00$","30,00$",,,Chicoutimi (Chicoutimi-Nord),Saguenay-Lac-Saint-Jean,"135, rue Sabrina",,,,,,"13,621.73 pi² (1,265.5 m²)"
6190,418000$,"2173,93$","261,92$","500,00$",,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"308-1150, rue Saint-Denis",1,1,,1,568.34 pi² (52.8 m²),
6191,225000$,"3539,04$","105,23$",,,Mont-Joli,Bas-Saint-Laurent,"105, avenue Doucet",7,3,,,,"8,701.55 pi² (808.4 m²)"
6192,"12,75$","7198,00$",,,,Magog,Estrie,boulevard Bourque Magog,,,,,,"104,000 pi² (9,661.92 m²)"
6193,550000$,,,,,Notre-Dame-de-Pontmain,Laurentides,"10, rue Leduc",3,2,,1,"2,880 pi² (267.56 m²)","182,952 pi² (16,996.8 m²)"
6194,339000$,,,,,St-Nicolas,Québec Rive-Sud (Lévis),"1379, rue du Maud",4,2,1,2,"1,375.63 pi² (127.8 m²)","4,763.03 pi² (442.5 m²)"
6196,65000$,"156,00$",,,,St-Roch-De-Mekinac,Mauricie,chemin de la Base,,,,,,450.52x220.05 pi (137.32x67.07 m)
6197,Prixsurdemande,"16074,00$","893,00$",,"13777,00$",Rimouski (Rimouski),Bas-Saint-Laurent,"410, rue Saint-Germain Est",,,,,,"50,084.48 pi² (4,653 m²)"
6198,289000$,"3520,00$","469,32$","6500,00$","1950,00$",Chénéville,Outaouais,"81, rue Principale",2,,,,,"23,112 pi² (2,147.18 m²)"
6199,300000$,"2168,00$",,,,St-Georges,Chaudière-Appalaches,"7845, 8e Avenue",3,1,1,1,52x38 pi (15.85x11.58 m),326x148 pi (99.36x45.11 m)
6200,289000$,"1168,00$",,"1500,00$",,St-Henri-de-Lévis,Chaudière-Appalaches,"1119, chemin des Îles",3,1,1,2,18x40 pi (5.49x12.19 m),54.99x99.02 pi (16.76x30.18 m)
6201,349000$,"513,90$",,,,Ste-Adèle,Laurentides,"752, chemin Pierre-Péladeau",,,,,,"152,310 pi² (14,150.06 m²)"
6202,1450000$,"8900,00$","1000,00$","4400,00$",,St-Augustin-De-Desmaures,Québec Rive-Nord,"112, chemin des Herbacaies",3,3,1,3,"3,564 pi² (331.11 m²)","16,827 pi² (1,563.28 m²)"
6203,106140$,,,,,La Minerve,Laurentides,chemin du Lac-à-la-Truite,,,,,,"70,761 pi² (6,573.91 m²)"
6204,629000$,"5962,82$","281,24$",,"1676,60$",La Malbaie (Cap-À-L'Aigle),Charlevoix,"113-117, rue Saint-Raphael",5,3,2,3,"4,832 pi² (448.91 m²)","31,103 pi² (2,889.56 m²)"
6205,620000$,"4096,82$","431,22$","2500,00$",,St-Jean-Chrysostome,Québec Rive-Sud (Lévis),"1161, rue de la Licorne",4,2,1,2,"1,920 pi² (178.37 m²)","13,290 pi² (1,234.68 m²)"
6206,785000$,"2600,00$","311,00$","3000,00$","1700,00$",Orford,Estrie,"7621, route 220",5,3,2,2,"3,200 pi² (297.29 m²)","10,714 pi² (995.36 m²)"
6208,215000$,"2357,50$","226,00$","720,00$",,Saint-Roch,Québec Rive-Nord,"316-219, boulevard Charest Est",1,1,1,1,856.81 pi² (79.6 m²),
6209,650000$,"2766,12$","166,25$","2608,25$",,Saint-Laurent,Montréal / l'Île,"930, rue Hodge",4,2,,3,"1,133 pi² (105.26 m²)","4,940 pi² (458.94 m²)"
6210,750000$,"12000,00$","660,00$","2473,00$","7007,00$",Jonquière (Jonquière),Saguenay-Lac-Saint-Jean,"2448, rue Saint-Dominique",2,1,,,,"7,028 pi² (652.92 m²)"
6211,1199900$,"3530,00$","397,00$","2040,00$","610,00$",Ste-Dorothée,Laval,"1141, rue Joanie",4,3,1,3,"1,610 pi² (149.57 m²)","5,850 pi² (543.48 m²)"
6212,635000$,"3495,00$",,"480,00$","179,00$",Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"3014-1288, avenue des Canadiens-de-Montréal",2,1,,1,625 pi² (58.06 m²),
6213,1650000$,"15625,00$","710,00$",,"8990,00$",Le Sud-Ouest,Montréal / l'Île,"4208, rue Saint-Jacques",2,1,,,,36.9x92 pi (11.25x28.04 m)
6214,350000$,"4500,00$","725,00$","14000,00$",,Ste-Angèle-De-Merici,Bas-Saint-Laurent,"531, boulevard de la Vallée",11,5,4,2,,"4,513 pi² (419.27 m²)"
6215,250000$,"1800,00$","350,00$","4000,00$",,Ste-Angèle-De-Merici,Bas-Saint-Laurent,"426, rue Bernard Levesque",11,2,,1,"2,452 pi² (227.8 m²)","96,000 pi² (8,918.69 m²)"
6216,499999$,,,,,La Minerve,Laurentides,chemin Doré,,,,,,"78,408.00 pi² (1.8 acre)"
6217,359900$,"3769,00$","226,54$","1600,00$",,Fossambault-Sur-Le-Lac,Québec Rive-Nord,"117, rue Gingras",3,2,,2,"1,800 pi² (167.23 m²)",100x146 pi (30.48x44.50 m)
6218,1500000$,,,,,Chambly,Montérégie (Rive-Sud Montréal),"2277, avenue Bourgogne",,,,,,"38,916.92 pi² (3,615.5 m²)"
6220,1150000$,"6000,00$","2200,00$",,"1600,00$",Terrebonne (Lachenaie),Lanaudière,"700, rue de Brissac",8,4,,,,"8,400 pi² (780.39 m²)"
6221,95000$,"226,06$",,,,Entrelacs,Lanaudière,"2550, boulevard des Iles",,,,,,"55,372 pi² (5,144.23 m²)"
6222,725000$,"2850,24$","308,93$","4014,60$","1062,00$",Pointe-Fortune,Montérégie Ouest,"123, rue Real-Larocque",2,2,,1,"1,644 pi² (152.73 m²)","34,004.2 pi² (3,159.09 m²)"
6223,725000$,"6000,00$","450,00$","3000,00$","1400,00$",Jonquière (Lac-Kénogami),Saguenay-Lac-Saint-Jean,"2149, chemin de la Baie-Des-Trèfles",2,2,,2,"1,560 pi² (144.93 m²)","51,344 pi² (4,770.01 m²)"
6224,900000$,"3486,00$","600,00$","2309,00$","1040,00$",ND-De-Ham,Centre-du-Québec,"77, rue Principale",4,2,1,2,"2,219 pi² (206.15 m²)","240,000 pi² (22,296.73 m²)"
6225,879000$,,,"7853,00$",,La Malbaie,Charlevoix,"440, rang Sainte-Mathilde Ouest",5,3,1,2,"3,968 pi² (368.64 m²)","118,780 pi² (11,035.02 m²)"
6226,925000$,"7460,61$","743,07$","2797,44$","1266,58$",Neufchatel,Québec Rive-Nord,"10395, rue du Caire",3,2,1,2,"3,006 pi² (279.27 m²)","7,648 pi² (710.52 m²)"
6227,496900$,,,,,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,"7159, avenue Pierre-de-Coubertin",3,1,1,2,"1,047.33 pi² (97.3 m²)",
6228,1498000$,"4851,18$","732,00$","3860,00$","2127,68$",St-Michel,Montérégie (Rive-Sud Montréal),"1618, rue de Lugano",5,2,1,2,"2,025 pi² (188.13 m²)","19,187.75 pi² (1,782.6 m²)"
6229,699000$,"1074,00$","101,00$",,,St-Armand,Estrie,6e Avenue,,,,,,"56,277 pi² (5,228.3 m²)"
6230,294000$,"3256,21$","254,51$","3418,93$",,Sept-Iles,Côte-Nord,"14, rue du Vieux-Quai",4,2,1,2,"2,256 pi² (209.59 m²)",98.00x105.25 pi (29.87x32.08 m)
6232,495000$,,,,,Deschaillons,Centre-du-Québec,268 St-Joseph,,,,,,"2,576,126.69 pi² (70 arpents)"
6233,1675000$,"10270,80$","1169,94$","1844,36$","6600,00$",Cap-Rouge,Québec Rive-Nord,"1192, rue Gérard Dion",6,3,1,2,"5,472 pi² (508.37 m²)","13,453.8 pi² (1,249.9 m²)"
6234,1980000$,"6360,00$","1005,00$","250,00$","4080,00$",Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),"1750, rue Labelle",18,6,,,,"11,613 pi² (1,078.88 m²)"
6235,369000$,,,,,St-Hippolyte,Laurentides,chemin de Mont-Rolland,,,,,,"1,306,800 pi² (121,405.69 m²)"
6236,1200000$,"10500,00$","1100,00$",,,Vieux-Québec,Québec Rive-Nord,"638-640-642-644-644A-644B, rue Champlain",14,7,7,,,"46,000 pi² (4,273.54 m²)"
6237,130000$,,,,,Lebel-Sur-Quevillon,Nord-du-Québec,"53, rue des Pruniers",5,1,,1,"1,090.38 pi² (101.3 m²)","9,955.54 pi² (924.9 m²)"
6238,274900$,"2001,83$","217,19$","1500,00$","1000,00$",St-Nicolas,Québec Rive-Sud (Lévis),"2298, chemin Filteau",3,1,,1,950 pi² (88.26 m²),"53,000 pi² (4,923.86 m²)"
6239,439000$,"1901,92$","31,35$",,,St-Calixte,Lanaudière,rue Adam,,,,,,"1,075,000 pi² (99,870.77 m²)"
6240,60000$,"362,63$","118,70$",,,Lac-Aux-Sables,Mauricie,rue des Érables,,,,,,"44,348.39 pi² (4,120.1 m²)"
6241,50000$,,,,,St-Fulgence,Saguenay-Lac-Saint-Jean,rue Gédéon Lavoie,,,,,,"22,658 pi² (2,105 m²)"
6242,900000$,,,,,Jonquière (Jonquière),Saguenay-Lac-Saint-Jean,rang Saint-Benoît,,,,,,"7,355,422 pi² (683,341.06 m²)"
6244,150000$,,,,,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,boulevard Talbot,,,,,,"349,104 pi² (32,432.82 m²)"
6245,79900$,,,,,St-Adolphe-D'Howard,Laurentides,chemin du Castor,,,,,,"43,152 pi² (4,008.95 m²)"
6246,775000$,,,"3000,00$",,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,"824, rue des Hauts-Jardins",4,1,1,2,"2,450 pi² (227.61 m²)","7,666 pi² (712.19 m²)"
6247,367000$,"3262,00$","307,00$","444,00$",,Lebourgneuf,Québec Rive-Nord,"804-375, rue Mathieu-Da-Costa",1,1,,1,830 pi² (77.11 m²),
6248,210000$,,,,,Ste-Marthe-Sur-Le-Lac,Laurentides,"3114, rue Carole",,,,,,"9,073 pi² (842.91 m²)"
6249,744500$,"3174,00$","315,00$",,,Granby,Estrie,"98, rue Jean-Louis-Boudreau",,,,,,"43,260 pi² (4,018.99 m²)"
6250,1210000$,"4976,27$","809,79$",,"2632,32$",Le Plateau-Mont-Royal,Montréal / l'Île,"463-465-467, rue Boucher",6,3,,,,"1,707.2 pi² (158.6 m²)"
6251,538000$,"2560,92$","286,16$",,,Le Plateau-Mont-Royal,Montréal / l'Île,"302-4004, rue Saint-Denis",,1,,1,900 pi² (83.61 m²),
6252,167000$,"1439,08$","144,29$","1167,72$",,St-Ulric,Bas-Saint-Laurent,"2, rue de la Falaise",4,1,1,2,,"3,022.51 pi² (280.8 m²)"
6253,394000$,"2514,00$","146,00$","1629,00$","1380,00$",Ste-Adèle,Laurentides,"860, rue Dubé",4,2,,2,"1,066 pi² (99.03 m²)","4,975 pi² (462.19 m²)"
6254,250000$,"2119,75$","120,68$","1405,20$","1075,83$",Jonquière (Arvida),Saguenay-Lac-Saint-Jean,"1676, rue Croft",2,1,,1,936 pi² (86.96 m²),"6,249.07 pi² (580.56 m²)"
6256,1699000$,"14207,50$","790,50$",,,Drummondville (St-Charles-De-Drummond),Centre-du-Québec,"2000, boulevard Foucault",,,,,,"122,279 pi² (11,360.09 m²)"
6257,625000$,"4406,06$","478,59$","3024,06$",,Thetford Mines,Chaudière-Appalaches,"514, rue Notre-Dame Est",5,2,2,3,"4,000 pi² (371.61 m²)",180x142 pi (54.86x43.28 m)
6258,215000$,"1700,00$","180,00$",,,Ste-Justine,Chaudière-Appalaches,"346, rue Principale",,,,,,"40,020.22 pi² (3,718 m²)"
6259,809000$,"4759,82$",,,,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"1312-1450, boulevard René-Lévesque Ouest",2,1,,1,923.54 pi² (85.8 m²),
6260,799000$,"5560,45$","1187,00$",,"1900,00$",Terrebonne (Terrebonne),Lanaudière,"1400, rue P.-E.-Marier",6,3,2,,,3 788.90 pi² (352 m²)
6261,265000$,"2110,00$","230,00$",,,Neufchatel,Québec Rive-Nord,"9281, carré Richard",3,1,1,2,,3 062.33 pi² (284.5 m²)
6262,60000$,,,,,St-Félicien,Saguenay-Lac-Saint-Jean,"3516, chemin du Canal",,,,,,49 583.95 pi² (4 606.5 m²)
6263,385000$,"1035,00$","220,00$","193,00$",,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"606-2000, boulevard René-Lévesque Ouest",1,1,,1,410.1 pi² (38.1 m²),
6264,487000$,"3977,00$","404,00$","657,00$",,Neufchatel,Québec Rive-Nord,"601-375, rue Mathieu-Da Costa",2,1,2,1,1 392 pi² (129.32 m²),
6265,249000$,,,,,Val-des-Sources,Estrie,"272, boulevard Coakley",,,,,,"40,045.08 pi² (3,720.31 m²)"
6266,359000$,"2269,29$","262,83$","600,00$",,Côte-des-Neiges / Notre-Dame-de-Grâce,Montréal / l'Île,"708-5025, rue Paré",2,1,,1,851.42 pi² (79.1 m²),1 pi² (0.09 m²)
6268,425000$,"1940,21$","279,31$","600,00$",,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"254-98, rue Charlotte",2,2,,1,750 pi² (69.68 m²),
6269,299950$,"2179,77$","185,50$","600,00$",,Ste-Foy,Québec Rive-Nord,"120-937, avenue Roland-Beaudin",2,1,,1,625 pi² (58.06 m²),
6270,400000$,"2399,23$","272,64$",,,Rosemont / La Petite Patrie,Montréal / l'Île,"432-5661, avenue de Chateaubriand",1,1,,1,623.23 pi² (57.9 m²),
6271,761500$,"2108,00$","170,00$","1400,00$","1769,00$",Roberval,Saguenay-Lac-Saint-Jean,"2105, boulevard de l'Anse",2,1,2,1,960 pi² (89.19 m²),"9,472,241.20 pi² (88 hectares)"
6272,575000$,"5753,15$","385,00$","6095,00$","1900,00$",Saint-Roch,Québec Rive-Nord,"331-335, rue de la Reine",8,5,,,,"2,780 pi² (258.27 m²)"
6273,499000$,"3585,00$","415,00$","840,00$","900,00$",Gatineau (Hull),Outaouais,"242, rue de l'Atmosphère",3,1,1,2,"1,220 pi² (113.34 m²)","4,000 pi² (371.61 m²)"
6274,918000$,,,,,Terrebonne (Terrebonne),Lanaudière,rue du Rivage,,,,,,"46,000 pi² (4,273.54 m²)"
6275,225000$,,,"1800,00$",,Amherst,Laurentides,"1417, RTE 323 S",,,,,,"43,055.64 pi² (4,000 m²)"
6276,495000$,"3556,75$","182,83$","1195,00$","1122,00$",Pointe-Lebel,Côte-Nord,"554, rue Granier",3,2,1,1,"1,925 pi² (178.84 m²)","1,045,440.00 pi² (24 acres)"
6277,199000$,,"192,00$","2500,00$",,Lévis,Québec Rive-Sud (Lévis),"2225, boulevard Guillaume Couture",3,,,,,"5,558.48 pi² (516.4 m²)"
6278,995000$,"1645,00$","313,00$",,,Yamachiche,Mauricie,"1250, chemin Louis-Gatineau",3,2,,2,"1,646 pi² (152.92 m²)","118,080.10 pi² (10,970 m²)"
6280,350000$,"2273,81$","238,73$",,,Rivière des Prairies,Montréal / l'Île,"7451, rue Perras",2,2,1,1,,
6281,98500$,,,,,St-Alexis-Des-Monts,Mauricie,rue Saint-Émilien,,,,,,"190,000 pi² (17,651.58 m²)"
6282,450000$,"590,00$",,,,Ste-Julienne,Lanaudière,rue Clément,,,,,,"813,633 pi² (75,588.98 m²)"
6283,279900$,"2090,00$","241,00$","2960,00$","1100,00$",Ste-Anne-de-Beaupré,Québec Rive-Nord,"10753, avenue Royale",4,2,,2,"2,305 pi² (214.14 m²)","14,025 pi² (1,302.97 m²)"
6284,"0,75$","448,00$","22,00$",,,Lac-Des-Ecorces,Laurentides,montée Tessier,,,,,,"119,587 pi² (11,110 m²)"
6285,150000$,,,,,Gracefield,Outaouais,chemin des Mésanges,,,,,,"13,578.67 pi² (1,261.5 m²)"
6286,"99999999,99$","1940,00$","230,00$","1000,00$","350,00$",Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"2248, rue Hochelaga",1,1,,1,742 pi² (68.93 m²),"1,600 pi² (148.64 m²)"
6287,549000$,"4896,00$","338,00$","4800,00$","810,00$",Thetford Mines,Chaudière-Appalaches,"1117, rue Christophe-Colomb",4,2,,2,"2,482 pi² (230.59 m²)","30,000 pi² (2,787.09 m²)"
6288,320000$,"2829,00$","101,00$","2500,00$","2195,00$",Wotton,Estrie,"387, rue Monseigneur-L'Heureux",6,2,1,2,"3,500 pi² (325.16 m²)","58.01x2,103.05 pi (17.68x641.01 m)"
6289,519000$,"2901,00$","695,00$","2004,00$","700,00$",St-Jean-Chrysostome,Québec Rive-Sud (Lévis),"1100, rue Picasso",6,2,1,2,"1,982 pi² (184.13 m²)","8,145 pi² (756.7 m²)"
6290,1195000$,"4348,47$","712,36$",,,Le Plateau-Mont-Royal,Montréal / l'Île,"1-1265, boulevard Saint-Joseph Est",4,3,,2,"2,200 pi² (204.39 m²)",
6292,1198888$,"5000,00$","550,00$","2500,00$","1800,00$",Val-Des-Monts,Outaouais,"48, chemin Watson",3,2,1,2,,"104,544.00 pi² (2.4 acres)"
6293,750000$,"2400,00$","375,00$","1800,00$","2800,00$",Calumet,Laurentides,"3, Rue Ewen",5,1,1,2,"1,650 pi² (153.29 m²)","20,017 pi² (1,859.64 m²)"
6294,579000$,,,,,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"1207-1288, avenue des Canadiens-de-Montréal",2,2,,1,901 pi² (83.71 m²),
6295,365000$,"1265,00$","155,00$",,"480,00$",Rosemont / La Petite Patrie,Montréal / l'Île,"5324, 5e Avenue",1,1,,1,580 pi² (53.88 m²),10.27x10.86 pi (3.13x3.31 m)
6296,1195000$,"9366,00$","1061,00$","2100,00$","800,00$",Sillery,Québec Rive-Nord,"1234, avenue Charles-Huot",6,3,1,2,"2,287.33 pi² (212.5 m²)",83.99x104.00 pi (25.6x31.7 m)
6297,185000$,"1690,34$",,"700,00$",,Ville-Marie,Abitibi-Témiscamingue,"4-10, rue Bruyère",2,1,,1,890 pi² (82.68 m²),"9,984 pi² (927.54 m²)"
6298,1400000$,"7105,17$","743,60$","1200,00$",,Val-Des-Monts (St-Pierre-de-Wakefield),Outaouais,"19, chemin Jeanne-d'Arc",3,3,,2,"2,780 pi² (258.27 m²)","22,000 pi² (2,043.87 m²)"
6299,45000$,,,,,Grande-Riviere,Gaspésie-Îles-de-la-Madeleine,chemin Saint-Hilaire,,,,,,200x500 pi (60.96x152.4 m)
6300,444000$,"3350,00$","779,00$",,,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),"1803-70, rue de la Barre",2,1,1,1,"1,090 pi² (101.26 m²)",
6301,1000000$,"800,00$","50,00$",,,St-Hippolyte,Laurentides,"1826, chemin des Hauteurs",,,,,,"3,875,007.76 pi² (36 hectares)"
6302,419000$,"2586,17$","258,01$","609,00$","671,44$",Beaupré,Québec Rive-Nord,"304-60, boulevard Bélanger",2,1,1,1,"1,171 pi² (108.79 m²)","2,781.39 pi² (258.4 m²)"
6304,600000$,"2814,00$","255,00$",,,Pincourt,Montérégie Ouest,"7, rue du Marais",3,1,1,2,"1,532 pi² (142.33 m²)",
